id,Abbreviation,Meaning,Symbol
80,APDC,"Aircraft parking/docking chart
(followed by name/title)",
81,APN,Apron ,
82,APP ,"Approach control office or approach
control or approach control service",
83,APR,April ,
84,APRX,Approximate or approximately ,
85,APSG,After passing ,
86,APU ,Auxiliary power unit ,
87,APV ,"Approach procedure with vertical
guidance ",
88,ARC,Area chart ,
89,ARNG ,Arrange ,
90,ARO ,Air traffic services reporting office ,
91,ARP ,Aerodrome reference point ,
92,ARP ,Air-report (message type designator),
93,ARQ ,Automatic error correction ,
94,ARR,Arrival (message type designator),
95,ARR,Arrive or arrival,
96,ARS ,"Special air-report (message type
designator)",
97,ARST ,"Arresting (specify (part of) aircraft
arresting equipment)",
98,AS,Altostratus,
99,ASAP ,As soon as possible ,
100,ASC,Ascend to or ascending to ,
101,ASDA ,Accelerate-stop distance available ,
102,ASE ,Altimetry system error ,
103,ASHTAM ,"Special series NOTAM notifying by
means of a specific format change
in activity of a volcano, a volcanic
eruption and/or volcanic ash cloud
that is of significance to aircraft
operations",
104,ASPH ,Asphalt ,
105,AT…,"At (followed by time at which weather
change is forecast to occur)",
106,ATA,Actual time of arrival ,‡ 
107,ATC,Air traffic control (in general),‡ 
108,ATCSMAC…,"Air traffic control surveillance
minimum altitude chart (followed
by name/title)",
109,ATD,Actual time of departure ,‡ 
110,ATFM,Air traffic flow management,
111,ATIS,"(to be pronounced “AY-TIS”)
Automatic terminal information
service",‡ 
112,ATM,Air traffic management ,
113,ATN ,"Aeronautical telecommunication
network ",
114,ATP…,At (followed by time or place),
115,ATS ,Air traffic services,
116,ATTN,Attention,
117,AT-VASIS,"(to be pronounced “AY-TEE-VASIS”)
Abbreviated T visual approach
slope indicator system ",†
118,ATZ ,Aerodrome traffic zone ,
119,AUG,August,
120,AUTH ,Authorized or authorization ,
121,AUTO ,Automatic ,
122,AUW,All up weight ,
123,AUX ,Auxiliary ,
124,AVBL ,Available or availability ,
125,AVG ,Average,
126,AVGAS,Aviation gasoline,†
127,AWOS ,"Automated weather observation
system",
128,AWTA,Advise at what time able ,
129,AWY,Airway ,
130,AZM ,Azimuth ,
131,B ,Blue ,
132,BA,Braking action ,
133,BARO-VNAV,"(to be pronounced “BAA-RO-VEENAV”) Barometric vertical
navigation ",†
134,BASE,Cloud base ,†
135,BCFG,Fog patches ,
136,BCN,Beacon (aeronautical ground light),
137,BCST ,Broadcast ,
138,BDRY,Boundary,
139,BECMG,Becoming,
140,BFR ,Before,
141,BKN,Broken,
142,BL…,"Blowing (followed by DU = dust,
SA = sand or SN = snow)",
143,BLDG ,Building,
144,BLO,Below clouds ,
145,BLW,Below,
146,BOMB,Bombing ,
147,BR ,Mist ,
148,BRF ,"Short (used to indicate the type of
approach desired or required)",
149,BRG ,Bearing,
150,BRKG,Braking,
151,BS ,Commercial broadcasting station ,
152,BTL,Between layers,
153,BTN,Between,
154,BUFR ,"Binary universal form for the
representation of meteorological
data",
155,...C ,"Centre (preceded by runway
designation number to identify a
parallel runway)",
156,C,Degrees Celsius (Centigrade),
157,CA ,Course to an altitude ,
158,CAA ,"Civil aviation authority or civil
aviation administration ",
159,CAT,Category,
160,CAT ,Clear air turbulence ,
161,CAVOK,"(to be pronounced “KAV-OH-KAY”)
Visibility, cloud and present ",†
162,CB,"(to be pronounced “CEE BEE”)
 Cumulonimbus ",‡
163,CC,Cirrocumulus ,
164,CCA,"(or CCB, CCC . . . etc., in sequence)
Corrected meteorological message
(message type designator)",
165,CCO,Continuous climb operations ,
166,CD,Candela ,
167,CDN,"Coordination (message type
designator)",
168,CDO,Continuous descent operations,
169,CDR,Conditional route ,
170,CF,Change frequency to . . .,
171,CF ,Course to a fix,
172,CFM,"Confirm or I confirm (to be used in
AFS as a procedure signal)",* 
173,CGL,Circling guidance light(s),
174,CH ,Channel ,
175,CH,"This is a channel-continuity-check of
transmission to permit comparison
of your record of channelsequence numbers of messages
received on the channel (to be used
in AFS as a procedure signal)",#
176,CHEM,Chemical,
177,CHG,Modification (message type designator),
178,CI,Cirrus,
179,CIDIN,"Common ICAO data interchange
network ",†
180,CIV,Civil,
181,CK,Check,
182,CL,Centre line,
183,CLA,Clear type of ice formation ,
184,CLBR,Calibration,
185,CLD,Cloud,
186,CLG,Calling,
187,CLIMB-OUT,Climb-out area,
188,CLR,Clear(s) or cleared to . . . or clearance,
189,CLRD,"Runway(s) cleared (used in
METAR/SPECI",
190,CLSD,Close or closed or closing ,
191,CM,Centimetre,
192,CMB,Climb to or climbing to ,
193,CMPL,Completion or completed or complete,
194,CNL,Cancel or cancelled ,
195,CNL,"Flight plan cancellation (message type
designator)",
196,CNS,"Communications, navigation and
surveillance ",
197,COM,Communications,
198,CONC,Concrete,
199,COND,Condition,
200,CONS,Continuous,
201,CONST,Construction or constructed,
202,CONT,Continue(s) or continued ,
203,COOR,Coordinate or coordination ,
204,COORD,Coordinates,
205,COP,Change-over point ,
206,COR,"Correct or correction or corrected
(used to indicate corrected
meteorological message; message
type designator)",
207,COT,At the coast,
208,COV,Cover or covered or covering ,
209,CPDLC,"Controller-pilot data link
communications",‡ 
210,CPL,"Current flight plan (message type
designator)",
211,CRC,Cyclic redundancy check ,
212,CRM,Collision risk model ,
213,CRP,Compulsory reporting point ,
214,CRZ,Cruise,
215,CS,Call sign,
216,CS,Cirrostratus,
217,CTA,Control area ,
218,CTAM,Climb to and maintain ,
219,CTC,Contact,
220,CTL,Control,
221,CTN,Caution,
222,CTR,Control zone ,
223,CU,Cumulus,
224,CUF,Cumuliform,
225,CUST,Customs,
226,CVR,Cockpit voice recorder ,
227,CW,Continuous wave ,
228,CWY,Clearway,
229,D,"Downward (tendency in RVR during
previous 10 minutes)",
230,D…,"Danger area (followed by
identification)",
231,DA,Decision altitude ,
232,D-ATIS,"(to be pronounced “DEE-ATIS”) Data
link automatic terminal
information service ",†
233,DCD,Double channel duplex ,
234,DCKG,Docking,
235,DCP,Datum crossing point ,
236,DCPC,"Direct controller-pilot
communications",
237,DCS,Double channel simplex ,
238,DCT,"Direct (in relation to flight plan
clearances and type of approach)",
239,DE,"From (used to precede the call sign of
the calling station) (to be used in
AFS as a procedure signal)",*
240,DEC,December,
241,DEG,Degrees,
242,DEP,Depart or departure,
243,DEP,Departure (message type designator),
244,DEPO,Deposition,
245,DER,Departure end of the runway ,
246,DES,Descend to or descending to,
247,DEST,Destination,
248,DETRESFA,DETRESFA,† 
249,DEV,Deviation or deviating ,
250,DF,Direction finding ,
251,DFDR,Digital flight data recorder ,
252,DFTI,Distance from touchdown indicator,
253,DH,Decision height ,
254,DIF,Diffuse,
255,DIST,Distance,
256,DIV,Divert or diverting ,
257,DLA,Delay or delayed,
258,DLA,Delay (message type designator),
259,DLIC,Data link initiation capability,
260,DLY,Daily,
261,DME,Distance measuring equipment ,‡ 
262,DNG,Danger or dangerous,
263,DOF,Date of flight ,
264,DOM,Domestic,
265,DP,Dew point temperature ,
266,DPT,Depth,
267,DR,Dead reckoning,
268,DR…,"Low drifting (followed by DU = dust,
SA = sand or SN = snow)",
269,DRG,During,
270,DS,Duststorm,
271,DSB,Double sideband ,
272,DTAM,Descend to and maintain,
273,DTG,Date-time group ,
274,DTHR,Displaced runway threshold ,
275,DTRT,Deteriorate or deteriorating,
276,DTW,Dual tandem wheels ,
277,DU,Dust,
278,DUC,Dense upper cloud ,
279,DUPE,"This is a duplicate message (to be used
in AFS as a procedure signal)",#
280,DUR,Duration,
281,D-VOLMET ,Data link VOLMET ,
282,DVOR,Doppler VOR ,
283,DW,Dual wheels,
284,DZ,Drizzle,
285,E,East or eastern longitude,
286,EAT,Expected approach time ,
287,EB,Eastbound,
288,EDA,Elevation differential area ,
289,EDTO,Extended diversion time operations ,
290,EEE,"Error (to be used in AFS as a
procedure signal)",# 
291,EET,Estimated elapsed time ,
292,EFC,Expect further clearance ,
293,EFIS,"(to be pronounced “EE-FIS”)
Electronic flight instrument system",† 
294,EGNOS,"(to be pronounced “EGG-NOS”)
European geostationary navigation
overlay service ",†
295,EHF,"Extremely high frequency [30 000 to
300 000 MHz] ",
296,ELBA,Emergency location beacon — aircraft,† 
297,ELEV,Elevation,
298,ELR,Extra long range ,
299,ELT,Emergency locator transmitter ,
300,EM,Emission,
301,EMBD,"Embedded in a layer (to indicate
cumulonimbus embedded in layers
of other clouds)",
302,EMERG,Emergency,
303,END,Stop-end (related to RVR),
304,ENE,East-north-east,
305,ENG,Engine,
306,ENR,En route ,
307,ENRC…,Enroute chart (followed by name/title),
308,EOBT,Estimated off-block time ,
309,EQPT,Equipment,
310,EST,"Estimate or estimated or estimation
(message type designator) ",
311,ETA,"Estimated time of arrival or estimating
arrival ",*‡
312,ETD,"Estimated time of departure or
estimating departure ",‡
313,ETO,Estimated time over significant point ,
314,EUR RODEX,"European regional OPMET data
exchange",
315,EV,Every,
316,EVS,Enhanced vision system ,
317,EXC,Except,
318,EXER,Exercises or exercising or to exercise ,
319,EXP,Expect or expected or expecting ,
320,EXTD,Extend or extending or extended ,
321,F,Fixed,
322,FA,Course from a fix to an altitude ,
323,FAC,Facilities,
324,FAF,Final approach fix,
325,FAL,"Facilitation of international air
transport ",
326,FAP,Final approach point ,
327,FAS,Final approach segment ,
328,FATO,Final approach and take-off area ,
329,FAX,Facsimile transmission ,
330,FBL,"Light (used to indicate the intensity of
weather phenomena, interference
or static reports, e.g. FBL RA =
light rain)",
331,FC,Funnel cloud (tornado or waterspout),
332,FCST,Forecast,
333,FCT,Friction coefficient,
334,FDPS,Flight data processing system,
335,FEB,February,
336,FEW,Few,
337,FG,Fog,
338,FIC,Flight information centre,
339,FIR,Flight information region ,‡ 
340,FIS,Flight information service ,
341,FISA,Automated flight information service ,
342,FL,Flight level ,
343,FLD,Field,
344,FLG,Flashing,
345,FLR,Flares,
346,FLT,Flight,
347,FLTCK,Flight check ,
348,FLUC,"Fluctuating or fluctuation or
fluctuated ",
349,FLW,Follow(s) or following ,
350,FLY,Fly or flying ,
351,FM,"Course from a fix to manual
termination (used in navigation
database coding)",
352,FM,From,
353,FM…,"From (followed by time at which
weather change is forecast to
begin)",
354,FMC,Flight management computer ,
355,FMS,Flight management system,‡ 
356,FMU,Flow management unit ,
357,FNA,Final approach ,
358,FPAP,Flight path alignment point ,
359,FPL,Flight plan ,
360,FPM,Feet per minute ,
361,FPR,Flight plan route ,
362,FR,Fuel remaining,
363,FREQ,Frequency,
364,FRI,Friday,
365,FRNG,Firing,
366,FRONT,Front (relating to weather),† 
367,FROST,Frost (used in aerodrome warnings),† 
368,FRQ,Frequent,
369,FSL,Full stop landing,
370,FSS,Flight service station ,
371,FST,First,
372,FT,Feet (dimensional unit),
373,FTE,Flight technical error ,
374,FTP,Fictitious threshold point,
375,FTT,Flight technical tolerance,
376,FU,Smoke,
377,FZ,Freezing,
378,FZDZ,Freezing drizzle ,
379,FZFG,Freezing fog ,
380,FZRA,Freezing rain ,
381,G,Green,
382,G…,"Variations from the mean wind speed
(gusts) (followed by figures in
METAR/SPECI and TAF)",
383,GA,General aviation,
384,GA,"Go ahead, resume sending (to be used
in AFS as a procedure signal)",
385,G/A ,Ground-to-air,
386,G/A/G,Ground-to-air and air-to-ground ,
387,GAGAN,"GPS and geostationary earth orbit
augmented navigation",† 
388,GAIN,Airspeed or headwind gain ,
389,GAMET,Area forecast for low-level flights,
390,GARP,GBAS azimuth reference point,
391,GBAS,"(to be pronounced “GEE-BAS”)
Ground-based augmentation
system ",†
392,GCA,"Ground controlled approach system or
ground controlled approach",‡ 
393,GEN,General,
394,GEO,Geographic or true,
395,GES,Ground earth station ,
396,GLD,Glider,
397,GLONASS,"(to be pronounced “GLO-NAS”)
Global orbiting navigation satellite
system ",†
398,GLS,GBAS landing system ,‡ 
399,GMC…,"Ground movement chart (followed by
name/title)",
400,GND,Ground,
401,GNDCK,Ground check,
402,GNSS,Global navigation satellite system ,‡
403,GOV,Government,
404,GP,Glide path,
405,GPA,Glide path angle,
406,GPIP,Glide path intercept point,
407,GPS,Global positioning system ,‡ 
408,GPU,Ground power unit ,
409,GPWS,Ground proximity warning system,‡ 
410,GR,Hail,
411,GRAS,"(to be pronounced “GRASS”) Groundbased regional augmentation
system ",†
412,GRASS,Grass landing area ,
413,GRIB,"Processed meteorological data in the
form of grid point values
expressed in binary form
(in meteorological code)",
414,GRVL,Gravel,
415,GS,Ground speed,
416,GS,Small hail and/or snow pellets ,
417,GUND,Geoid undulation ,
418,H,"High pressure area or the centre of high
pressure ",
419,H…,"Significant wave height (followed by
figures in METAR/SPECI)",
420,H24,Continuous day and night service ,
421,HA,Holding/racetrack to an altitude ,
422,HAPI,Helicopter approach path indicator ,
423,HBN,Hazard beacon,
424,HCH,Heliport crossing height ,
425,HDF,High frequency direction-finding station,
426,HDG,Heading,
427,HEL,Helicopter,
428,HF,Holding/racetrack to a fix ,
429,HF,High frequency [3 000 to 30 000 kHz] ,‡
430,HGT,Height or height above ,
431,HJ,Sunrise to sunset ,
432,HLDG,Holding,
433,HLP,Heliport,
434,HLS,Helicopter landing site ,
435,HM,Holding/racetrack to a manual termination,
436,HN,Sunset to sunrise ,
437,HO,"Service available to meet operational
requirements ",
438,HOL,Holiday,
439,HOSP,Hospital aircraft ,
440,HPA,Hectopascal,
441,HR,Hours,
442,HRP,Heliport reference point,
443,HS,"Service available during hours of
scheduled operations ",
444,HUD,Head-up display,
445,HUM,Humanitarian,
446,HURCN,Hurricane,
447,HVDF,High and very high frequency directionfinding stations (at the same location),
448,HVY,Heavy,
449,HVY,"Heavy (used to indicate the intensity of
weather phenomena, e.g. HVY RA =
heavy rain)",
450,HX,No specific working hours ,
451,HYR,Higher,
452,HZ,Haze,
453,HZ,Hertz (cycle per second),
454,IAC…,"Instrument approach chart (followed by
name/title)",
455,IAF,Initial approach fix ,
456,IAO,In and out of clouds ,
457,IAP,Instrument approach procedure ,
458,IAR,Intersection of air routes ,
459,IAS,Indicated airspeed ,
460,IBN,Identification beacon ,
461,ICAO,International Civil Aviation Organization,
462,ICE,Icing,
463,ID,Identifier or identify ,
464,IDENT,Identification,†
465,IF,Intermediate approach fix ,
466,IFF,Identification friend/foe ,
467,IFR,Instrument flight rules ,‡
468,IGA,International general aviation,
469,ILS,Instrument landing system ,‡ 
470,IM,Inner marker,
471,IMC,Instrument meteorological conditions ,‡ 
472,IMG,Immigration,
473,IMI,"Interrogation sign (question mark) (to be
used in AFS as a procedure signal)",* 
474,IMPR,Improve or improving,
475,IMT,Immediate or immediately,
476,INA,Initial approach ,
477,INBD,Inbound,
478,INC,In cloud,
479,INCERFA,Uncertainty phase ,† 
480,INCORP,Incorporated,
481,INFO,Information,† 
482,INOP,Inoperative,
483,INP,If not possible ,
484,INPR,In progress ,
485,INS,Inertial navigation system ,
486,INSTL,Install or installed or installation ,
487,INSTR,Instrument,
488,INT,Intersection,
489,INTL,International,
490,INTRG,Interrogator,
491,INTRP,Interrupt or interruption or interrupted ,
492,INTSF,Intensify or intensifying ,
493,INTST,Intensity,
494,IR,Ice on runway ,
495,IRS,Inertial reference system ,
496,ISA,International standard atmosphere ,
497,ISB,Independent sideband ,
498,ISOL,Isolated,
499,JAN,January,
500,JTST,Jet stream ,
501,JUL,July,
502,JUN,June,
503,KG,Kilograms,
504,KHZ,Kilohertz,
505,KIAS,Knots indicated airspeed ,
506,KM,Kilometres,
507,KMH,Kilometres per hour,
508,KPA,Kilopascal,
509,KT,Knots,
510,KW,Kilowatts,
511,...L,"Left (preceded by runway designation
number to identify a parallel runway)",
512,L,Litre,
513,L,Locator,
514,L,"Low pressure area or the centre of low
pressure ",
515,LAM,"Logical acknowledgement (message type
designator)",
516,LAN,Inland,
517,LAT,Latitude,
518,LCA,Local or locally or location or located ,
519,LDA,Landing distance available,
520,LDAH,"Landing distance available, helicopter",
521,LDG,Landing,
522,LDI,Landing direction indicator ,
523,LEN,Length,
524,LF,Low frequency [30 to 300 kHz] ,
525,LGT,Light or lighting,
526,LGTD,Lighted,
527,LIH,Light intensity high,
528,LIL,Light intensity low,
529,LIM,Light intensity medium,
530,LINE,Line (used in SIGMET),
531,LM,"Locator, middle",
532,LMT,Local mean time,
533,LNAV,(to be pronounced “EL-NAV”) Lateral navigation,†
534,LNG,Long (used to indicate the type of approach desired or required),
535,LO,"Locator, outer",
536,LOC,Localizer,
537,LONG,Longitude,
538,LORAN,LORAN (long range air navigation system),†
539,LOSS,Airspeed or headwind loss,
540,LPV,Localizer performance with vertical guidance,
541,LR,Last message received by me was . . . (to be used in AFS as a procedure signal),
542,LRG,Long range,
543,LS,Last message sent by me was . . . or Last message was . . . (to be used in AFS as a procedure signal),
544,LTA,Lower control area,
545,LTD,Limited,
546,LTP,Landing threshold point,
547,LV,Light and variable (relating to wind),
548,LVE,Leave or leaving,
549,LVL,Level,
550,LVP,Low visibility procedures,
551,LYR,Layer or layered,
552,...M,Metres (preceded by figures),
553,M…,Mach number (followed by figures),
554,M…,Minimum value of runway visual range (followed by figures in METAR/SPECI),
555,MAA,Maximum authorized altitude,
556,MAG,Magnetic,
557,MAHF,Missed approach holding fix,
558,MAINT,Maintenance,
559,MAP,Aeronautical maps and charts,
560,MAPT,Missed approach point,
561,MAR,At sea,
562,MAR,March,
563,MATF,Missed approach turning fix,
564,MATZ,Military aerodrome traffic zone,
565,MAX,Maximum,
566,MAY,May,
567,MBST,Microburst,
568,MCA,Minimum crossing altitude,
569,MCTR,Military control zone,
570,MCW,Modulated continuous wave,
571,MDA,Minimum descent altitude,
572,MDF,Medium frequency direction-finding station,
573,MDH,Minimum descent height,
574,MEA,Minimum en-route altitude,
575,MEDEVAC,Medical evacuation flight,
576,MEHT,Minimum eye height over threshold (for visual approach slope indicator systems),
577,MET,Meteorological or meteorology,†
578,METAR,Aerodrome routine meteorological report (in meteorological code),†
579,MET REPORT,Local routine meteorological report (in abbreviated plain language),
580,MF,Medium frequency [300 to 3 000 kHz],
581,MHA,Minimum holding altitude,
582,MHDF,Medium and high frequency directionfinding stations (at the same location),
583,MHVDF,"Medium, high and very high frequency direction-finding stations (at the same location)",
584,MHZ,Megahertz,
585,MID,Mid-point (related to RVR),
586,MIFG,Shallow fog,
587,MIL,Military,
588,MIN,Minutes,*
589,MIS,Missing . . . (transmission identification) (to be used in AFS as a procedure signal),
590,MKR,Marker radio beacon,
591,MLS,Microwave landing system,‡
592,MM,Middle marker,
593,MNM,Minimum,
594,MNPS,Minimum navigation performance specifications,
595,MNT,Monitor or monitoring or monitored,
596,MNTN,Maintain,
597,MOA,Military operating area,
598,MOC,Minimum obstacle clearance (required),
599,MOCA,Minimum obstacle clearance altitude,
600,MOD,"Moderate (used to indicate the intensity of weather phenomena, interference or static reports, e.g. MODRA = moderate rain)",
601,MON,Above mountains,
602,MON,Monday,
603,MOPS,Minimum operational performance standards,†
604,MOV,Move or moving or movement,
605,MPS,Metres per second,
606,MRA,Minimum reception altitude,
607,MRG,Medium range,
608,MRP,ATS/MET reporting point,
609,MS,Minus,
610,MSA,Minimum sector altitude,
611,MSAS,(to be pronounced “EM-SAS”) Multifunctional transport satellite (MTSAT) satellite-based augmentation system,†
612,MSAW,Minimum safe altitude warning,
613,MSG,Message,
614,MSL,Mean sea level,
615,MSR,Message . . . (transmission identification) has been misrouted (to be used in AFS as a procedure signal),#
616,MSSR,Monopulse secondary surveillance radar,
617,MT,Mountain,
618,MTOM,Maximum take-off mass,
619,MTU,Metric units,
620,MTW,Mountain waves,
621,MVDF,Medium and very high frequency direction- finding stations (at the same location),
622,MWO,Meteorological watch office,
623,MX,Mixed type of ice formation (white and clear),
624,N,No distinct tendency (in RVR during previous 10 minutes),
625,N,North or northern latitude,
626,NADP,Noise abatement departure procedure,
627,NASC,National AIS system centre,†
628,NAT,North Atlantic,
629,NAV,Navigation,
630,NAVAID,Navigation aid,
631,NB,Northbound,
632,NBFR,Not before,
633,NC,No change,
634,NCD,No cloud detected (used in automated METAR/SPECI),
635,NDB,Non-directional radio beacon,‡
636,NDV,No directional variations available (used in automated METAR/SPECI),
637,NE,North-east,
638,NEB,North-eastbound,
639,NEG,No or negative or permission not granted or that is not correct,
640,NGT,Night,
641,NIL,None or I have nothing to send to you,*†
642,NM,Nautical miles,
643,NML,Normal,
644,NN,"No name, unnamed",
645,NNE,North-north-east,
646,NNW,North-north-west,
647,NO,No (negative) (to be used in AFS as a procedure signal),
648,NOF,International NOTAM office,
649,NONSTD,Non-standard,
650,NOSIG,No significant change (used in trend-type landing forecasts),†
651,NOTAM,"Notice distributed by means of telecommunication containing information concerning the establishment, condition or change in any aeronautical facility, service, procedure or hazard, the timely knowledge of which is essential to personnel concerned with flight operations",†
652,NOTAMC,Cancelling NOTAM,
653,NOTAMN,New NOTAM,
654,NOTAMR,Replacing NOTAM,
655,NOV,November,
656,NOZ,Normal operating zone,‡
657,NPA,Non-precision approach,
658,NR,Number,
659,NRH,No reply heard,
660,NS,Nimbostratus,
661,NSC,Nil significant cloud,
662,NSE,Navigation system error,
663,NSW,Nil significant weather,
664,NTL,National,
665,NTZ,No transgression zone,‡
666,NW,North-west,
667,NWB,North-westbound,
668,NXT,Next,
669,OAC,Oceanic area control centre,
670,OAS,Obstacle assessment surface,
671,OBS,Observe or observed or observation,
672,OBSC,Obscure or obscured or obscuring,
673,OBST,Obstacle,
674,OCA,Obstacle clearance altitude,
675,OCA,Oceanic control area,
676,OCC,Occulting (light),
677,OCH,Obstacle clearance height ,
678,OCNL,Occasional or occasionally,
679,OCS,Obstacle clearance surface,
680,OCT,October,
681,OFZ,Obstacle free zone,
682,OGN,Originate (to be used in AFS as a procedure signal),
683,OHD,Overhead,
684,OIS,Obstacle identification surface,
685,OK,We agree or It is correct (to be used in AFS as a procedure signal),*
686,OLDI,On-line data interchange,†
687,OM,Outer marker,
688,OPA,"Opaque, white type of ice formation",
689,OPC,Control indicated is operational control,
690,OPMET,Operational meteorological (information),†
691,OPN,Open or opening or opened,
692,OPR,Operator or operate or operative or operating or operational,
693,OPS,Operations,†
694,O/R,On request,
695,ORD,Order,
696,OSV,Ocean station vessel,
697,OTP,On top,
698,OTS,Organized track system,
699,OUBD,Outbound,
700,OVC,Overcast,
701,P . . .,Maximum value of wind speed or runway visual range (followed by figures in METAR/SPECI and TAF),
702,P . . .,Prohibited area (followed by identification),
703,PA,Precision approach,
704,PALS,Precision approach lighting system (specify category),
705,PANS,Procedures for air navigation services,
706,PAPI,Precision approach path indicator,†
707,PAR,Precision approach radar,‡
708,PARL,Parallel,
709,PATC . . .,Precision approach terrain chart (followed by name/title),
710,PAX,Passenger(s),
711,PBC,Performance-based communication,
712,PBN,Performance-based navigation,
713,PBS,Performance-based surveillance,
714,PCD,Proceed or proceeding,
715,PCL,Pilot-controlled lighting,
716,PCN,Pavement classification number,
717,PCT,Per cent,
718,PDC,Pre-departure clearance,‡
719,PDG,Procedure design gradient,
720,PER,Performance,
721,PERM,Permanent,
722,PIB,Pre-flight information bulletin,
723,PJE,Parachute jumping exercise,
724,PL,Ice pellets,
725,PLA,Practice low approach,
726,PLVL,Present level,
727,PN,Prior notice required,
728,PNR,Point of no return,
729,PO,Dust/sand whirls (dust devils),
730,POB,Persons on board,
731,POSS,Possible,
732,PPI,Plan position indicator,
733,PPR,Prior permission required,
734,PPSN,Present position,
735,PRFG,Aerodrome partially covered by fog,
736,PRI,Primary,
737,PRKG,Parking,
738,PROB,Probability,†
739,PROC,Procedure,
740,PROP,Propeller,
741,PROV,Provisional,
742,PRP,Point-in-space reference point,
743,PS,Plus,
744,PSG,Passing,
745,PSN,Position,
746,PSP,Pierced steel plank,
747,PSR,Primary surveillance radar,‡
748,PSYS,Pressure system(s),
749,PTN,Procedure turn,
750,PTS,Polar track structure,
751,PWR,Power,
752,QDL,Do you intend to ask me for a series of bearings? or I intend to ask you for a series of bearings (to be used in radiotelegraphy as a Q Code),
753,QDM,Magnetic heading (zero wind),‡
754,QDR,Magnetic bearing,
755,QFE,Atmospheric pressure at aerodrome elevation (or at runway threshold),‡
756,QFU,Magnetic orientation of runway,
757,QGE,What is my distance to your station? or Your distance to my station is (distance figures and units) (to be used in radiotelegraphy as a Q Code),
758,QJH,Shall I run my test tape/a test sentence? or Run your test tape/a test sentence (to be used in AFS as a Q Code),
759,QNH,Altimeter sub-scale setting to obtain elevation when on the ground,‡
760,QSP,Will you relay to . . . free of charge? or I will relay to . . . free of charge (to be used in AFS as a Q Code),
